cropRegCode,state,year,season,Registered Area,Inspected Area,Certified Area,Crop,Variety,CropCode,VarietyCode,Source Class,Destination Class,Estimated Yeild (Qtl),Intake Quantity,Intake Verified Quantity,Sowing Week,Sowing Month,Harvesting Week,harvesting month,District,Block,Village,Sowed Quantity,cropPattern,typeOfSowing,cropCondition,Tc Quantity
R23-6-58,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,2,2,Week 2,JANUARY,Week 3,MARCH,GANJAM,SANAKHEMUNDI,Dolaba,0.4,Sole Cropping,Broadcasting,good,12
K23-1-1510,Odisha,2023-24,KHARIF (2023),0.5,0.5,0.4,PaddyDhan,Swarna Samridhi Dhan(IET 24306),C002,V536,BREEDER,FOUNDATION I,6,6.6,6.6,Week 1,JULY,Week 1,NOVEMBER,BARGARH,ATTABIRA,Babebira,0.4,Sole Cropping,Transplanting,average,6
K23-5-869,Odisha,2023-24,KHARIF (2023),5,5,5,Sesame (Gingelly/Til),SMARAK,C033,V386,FOUNDATION I,CERTIFIED I,50,40,40,Week 1,AUGUST,Week 1,NOVEMBER,MAYURBHANJ,JOSHIPUR,Basantapur,1,Sole Cropping,Broadcasting,good,40
K23-7-277,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,POOJA (IET-12241),C002,V096,FOUNDATION I,CERTIFIED I,108,100,100,Week 5,JUNE,Week 2,DECEMBER,KALAHANDI,KESINGA,Karlakhunta,0.6,Sole Cropping,Transplanting,excellent ,99
R23-5-665,Odisha,2023-24,RABI (2023-24),3,3,3,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,21,20,20,Week 3,JANUARY,Week 2,APRIL,KENDUJHAR,KENDUJHAR SADAR,Badamuni,0.3,Sole Cropping,Broadcasting,good,23
K23-7-1317,Odisha,2023-24,KHARIF (2023),1.5,1.5,1.5,PaddyDhan,Tarangini (MTU 1156),C002,V379,BREEDER,FOUNDATION I,67.5,44.5,44.5,Week 1,JULY,Week 1,NOVEMBER,NUAPADA,NUAPADA NAC,Nuapada(NAC) - Ward No. 6,1.2,Sole Cropping,Transplanting,good,67.5
R23-7-191,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,28,30,30,Week 5,JANUARY,Week 1,MAY,KALAHANDI,JUNAGARH,Dabriguda,3,Sole Cropping,Dibbling,good,28.2
K23-1-2069,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 1,SEPTEMBER,Week 2,NOVEMBER,BARGARH,PAIKMAL,Jhengnadihi,0.4,Sole Cropping,Broadcasting,good,19.5
K23-2-762,Odisha,2023-24,KHARIF (2023),0.4,0.4,0.4,PaddyDhan,Kalachampa,C002,V372,BREEDER,FOUNDATION I,16,15,15,Week 3,JULY,Week 3,DECEMBER,PURI,NIMAPADA,Resinga,0.2,Sole Cropping,Transplanting,average,15
K23-6-808,Odisha,2023-24,KHARIF (2023),6,6,6,Finger millet (Ragi),VL Mandua 379 (VL 379),C005,V457,FOUNDATION I,CERTIFIED I,72,144,72,Week 2,AUGUST,Week 2,OCTOBER,GANJAM,ASKA,Baragan,0.64,,,,72
R23-5-16,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,42,46,46,Week 4,OCTOBER,Week 4,MARCH,KENDUJHAR,KENDUJHAR SADAR,Silisuan,0.6,Sole Cropping,Broadcasting,average,42
K23-8-419,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,80,75,75,Week 5,JUNE,Week 4,NOVEMBER,BALESHWAR,BASTA,Panchurukhi,1,Sole Cropping,Transplanting,average,75
R23-8-1775,Odisha,2023-24,RABI (2023-24),2,2,2,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,11.8,11.5,11.5,Week 2,JANUARY,Week 3,MAY,BALESHWAR,JALESWAR,Baliapal,0.2,Sole Cropping,Broadcasting,good,12
R23-5-17,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,60,55,55,Week 4,OCTOBER,Week 4,MARCH,KENDUJHAR,BANSAPAL,Kandesahi,0.6,Sole Cropping,Broadcasting,good,50
K23-7-740,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,SAHABHAGI DHAN,C002,V235,FOUNDATION I,CERTIFIED I,110,13,13,Week 1,JULY,Week 4,NOVEMBER,BALANGIR,Patnagarh NAC,Patnagarh (NAC) - Ward No.6,1,Sole Cropping,Transplanting,good,50
K23-1-785,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,Tarangini (MTU 1156),C002,V379,FOUNDATION I,CERTIFIED I,160,176,176,Week 2,AUGUST,Week 4,OCTOBER,BARGARH,PADAMPUR,Bentkarpur,2,,,,160
R23-4-90,Odisha,2023-24,RABI (2023-24),2,2,2,Finger millet (Ragi),ARJUNA,C005,V429,FOUNDATION I,CERTIFIED I,24,26,26,Week 2,FEBRUARY,Week 5,MAY,KORAPUT,KUNDURA,Digapur,0.2,Sole Cropping,Broadcasting,good,24
R23-2-641,Odisha,2023-24,RABI (2023-24),2,2,2,Green Gram(Mung),IPM 410-3 (Shikha),C015,V436,CERTIFIED I,CERTIFIED II,14,13.5,13.5,Week 2,JANUARY,Week 3,APRIL,PURI,GOP,Inchol,0.4,Sole Cropping,Drilling,average,13.5
R23-1-210,Odisha,2023-24,RABI (2023-24),1,1,1,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,18,17.5,17.5,Week 1,JANUARY,Week 5,MAY,SUNDARGARH,LEPHRIPARA,Giringkela,1.5,Sole Cropping,Transplanting,good,20
R23-5-427,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,14,15,15,Week 5,JANUARY,Week 2,MARCH,KENDUJHAR,HATADIHI,Bancho,0.4,Sole Cropping,Broadcasting,average,14.5
K23-1-148,Odisha,2023-24,KHARIF (2023),4,4,4,Ground nut PeanutMung phalli,Dharani (TCGS 1043),C026,V387,CERTIFIED I,CERTIFIED II,48,48,48,Week 3,JULY,Week 2,OCTOBER,BARGARH,PAIKMAL,Baitalbhata,6,,,,
R23-5-429,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,CERTIFIED I,CERTIFIED II,14,14.5,14.5,Week 5,JANUARY,Week 2,APRIL,KENDUJHAR,BANSAPAL,Narsinghpur,0.4,Sole Cropping,Broadcasting,average,14.5
R23-8-760,Odisha,2023-24,RABI (2023-24),1,1,1,Sesame (Gingelly/Til),SMARAK,C033,V386,FOUNDATION I,CERTIFIED I,5.1,5,5,Week 1,FEBRUARY,Week 3,MAY,BALESHWAR,BASTA,Nabara,0.1,Sole Cropping,Broadcasting,good,5.5
K23-1-1456,Odisha,2023-24,KHARIF (2023),2,2,1.9,PaddyDhan,CIHERANG SUB-1(BINA-11),C002,V343,FOUNDATION I,CERTIFIED I,57,62.5,62.5,Week 2,AUGUST,Week 1,NOVEMBER,BARGARH,ATTABIRA,Hiralipali,0.8,Sole Cropping,Transplanting,good,57
K23-1-2087,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,16,17.6,17.6,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,JHARBANDH,Beheraduburi,0.4,Sole Cropping,Broadcasting,good,17.5
K23-1-1106,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,50,55,55,Week 3,JULY,Week 3,DECEMBER,SUNDARGARH,SUNDARGARH,Kudabaga,0.6,Sole Cropping,Transplanting,good,50
K23-6-402,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Maruteru Mashuri MTU 1262(IET 27151),C002,V531,FOUNDATION I,CERTIFIED I,60,52,52,Week 5,JUNE,Week 3,DECEMBER,GANJAM,POLOSARA,Bhabarada,3,Sole Cropping,Transplanting,good,52
K23-8-449,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,80,75,75,Week 5,JUNE,Week 4,NOVEMBER,BALESHWAR,BASTA,Jamsuli,1,Sole Cropping,Transplanting,average,75
R23-7-272,Odisha,2023-24,RABI (2023-24),0.6,0.6,0.6,PaddyDhan,MTU-1010 (COTTONDORA SANNALU),C002,V045,BREEDER,FOUNDATION I,13.2,14.35,14.35,Week 1,JANUARY,Week 1,MAY,KALAHANDI,JUNAGARH,Badtikraguda(2),0.3,Sole Cropping,Transplanting,excellent ,13.05
R23-1-178,Odisha,2023-24,RABI (2023-24),1,1,1,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,18,19,19,Week 1,JANUARY,Week 5,MAY,SUNDARGARH,LEPHRIPARA,Giringkela,1.5,Sole Cropping,Broadcasting,good,20
R23-5-678,Odisha,2023-24,RABI (2023-24),3,3,3,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,21,20,20,Week 3,JANUARY,Week 1,APRIL,KENDUJHAR,BANSAPAL,Tiriba,0.3,Sole Cropping,Broadcasting,good,23
K23-7-1466,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,BREEDER,FOUNDATION I,110,121,121,Week 4,JULY,Week 3,DECEMBER,SONEPUR,DUNGURIPALI,Sahala,1.2,Sole Cropping,Transplanting,good,110
R23-2-12,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,KALINGA GROUNDNUT 101,C026,V631,BREEDER,FOUNDATION I,32,31.8,31.8,Week 5,NOVEMBER,Week 2,MAY,PURI,PIPILI,Sunapada,3,Sole Cropping,Drilling,average,31.8
K23-1-2068,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 1,SEPTEMBER,Week 2,NOVEMBER,BARGARH,PAIKMAL,Jhengnadihi,0.4,Sole Cropping,Broadcasting,good,19.5
R23-2-43,Odisha,2023-24,RABI (2023-24),3,3,3,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,54,52.5,52.5,Week 5,DECEMBER,Week 2,APRIL,PURI,DELANGA,Hakapada,4.5,Sole Cropping,Drilling,average,52.5
K23-7-83,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,Maruteru Mashuri MTU 1262(IET 27151),C002,V531,FOUNDATION I,CERTIFIED I,55,60.5,60.5,Week 3,JUNE,Week 3,DECEMBER,KALAHANDI,JUNAGARH,Kupagaon,0.6,Sole Cropping,Transplanting,good,55
R23-2-22,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,CO-7,C026,V370,BREEDER,FOUNDATION I,34,33.9,33.9,Week 1,DECEMBER,Week 4,APRIL,PURI,DELANGA,Nuagan,3,Sole Cropping,Drilling,average,33.9
K23-1-1502,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,MTU-7029(SWARNA),C002,V016,BREEDER,FOUNDATION I,40,44,44,Week 1,JULY,Week 3,NOVEMBER,BARGARH,ATTABIRA,Babebira,0.6,Sole Cropping,Transplanting,good,40
K23-6-225,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,72,17.5,17.5,Week 4,JUNE,Week 5,NOVEMBER,GANJAM,BELLAGUNTHA,Narayanpur oraf Kurumapadhala,1,Sole Cropping,Transplanting,good,22
R23-8-114,Odisha,2023-24,RABI (2023-24),2,2,2,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,13.4,13.5,13.5,Week 1,DECEMBER,Week 1,MARCH,BALESHWAR,BASTA,SAMRAIPUR,0.2,Sole Cropping,Broadcasting,good,14
K23-8-415,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,MTU-7029(SWARNA),C002,V016,FOUNDATION I,CERTIFIED I,80,72,72,Week 5,JUNE,Week 4,NOVEMBER,BALESHWAR,BASTA,Panchurukhi,1,Sole Cropping,Transplanting,average,72
R23-8-1770,Odisha,2023-24,RABI (2023-24),2,2,2,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,11.8,11.5,11.5,Week 2,JANUARY,Week 3,MAY,BALESHWAR,JALESWAR,Baliapal,0.2,Sole Cropping,Broadcasting,good,12.5
R23-1-251,Odisha,2023-24,RABI (2023-24),4,4,4,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,CERTIFIED I,CERTIFIED II,72,79,79,Week 5,JANUARY,Week 4,MAY,SUNDARGARH,BONAIGARH,Jangla,6,Sole Cropping,Broadcasting,good,74.4
K23-1-2106,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,JHARBANDH,Chandibhata,0.4,Sole Cropping,Broadcasting,good,19
K23-1-2102,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,18,19.8,19.8,Week 4,AUGUST,Week 2,NOVEMBER,BARGARH,JHARBANDH,Chandibhata,0.4,Sole Cropping,Broadcasting,good,19
R23-5-10,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,48,39.5,39.5,Week 4,OCTOBER,Week 4,MARCH,KENDUJHAR,GHATGAON,Mathurapasi,0.6,Sole Cropping,Broadcasting,good,36
K23-7-1425,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,Hasanta,C002,V416,FOUNDATION I,CERTIFIED I,100,30,30,Week 2,JUNE,Week 3,NOVEMBER,NUAPADA,NUAPADA,Sarabang,1,Sole Cropping,Transplanting,good,30
K23-7-546,Odisha,2023-24,KHARIF (2023),2,2,2,PaddyDhan,CR DHAN 101(ANKIT),C002,V489,CERTIFIED I,CERTIFIED II,100,60,60,Week 3,JUNE,Week 1,NOVEMBER,SONEPUR,DUNGURIPALI,Bankipali,1.2,Sole Cropping,Transplanting,good,60
R23-8-156,Odisha,2023-24,RABI (2023-24),2,2,2,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,13.6,13.5,13.5,Week 1,DECEMBER,Week 1,MARCH,BALESHWAR,BASTA,SAMRAIPUR,0.2,Sole Cropping,Broadcasting,good,14
R23-5-661,Odisha,2023-24,RABI (2023-24),3,3,3,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,21,19,19,Week 3,JANUARY,Week 2,APRIL,KENDUJHAR,KENDUJHAR SADAR,Fakirpur,0.3,Sole Cropping,Broadcasting,average,23
R23-8-1172,Odisha,2023-24,RABI (2023-24),2,2,2,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,11,11,11,Week 2,FEBRUARY,Week 3,MAY,BALESHWAR,BASTA,Sitadiha,0.2,Sole Cropping,Broadcasting,good,11
R23-2-36,Odisha,2023-24,RABI (2023-24),2,2,2,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,BREEDER,FOUNDATION I,36,36,36,Week 2,DECEMBER,Week 3,APRIL,PURI,DELANGA,Jenapur-2,3,Sole Cropping,Drilling,average,36
K23-1-2095,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,16,17.6,17.6,Week 4,AUGUST,Week 4,NOVEMBER,BARGARH,JHARBANDH,Jampali,0.4,Sole Cropping,Broadcasting,good,17.5
K23-6-628,Odisha,2023-24,KHARIF (2023),1,1,1,Niger (Ramtil),UTKAL NIGER-150 (ONS-150),C029,V247,BREEDER,FOUNDATION I,6,3.6,3.6,Week 4,AUGUST,Week 2,DECEMBER,KANDHAMAL,G. Udayagiri NAC,G. Udayagiri (NAC) - Ward No.4,0.1,Sole Cropping,Broadcasting,good,3.6
K23-1-784,Odisha,2023-24,KHARIF (2023),4,4,4,PaddyDhan,Chandra(MTU-1153),C002,V395,FOUNDATION I,CERTIFIED I,160,53.5,53.5,Week 2,AUGUST,Week 4,OCTOBER,BARGARH,PADAMPUR,Jhankarpali,2,,,,160
R23-5-411,Odisha,2023-24,RABI (2023-24),2,2,2,Black gram (Biri),LBG 787 (Tulasi),C011,V468,FOUNDATION II,CERTIFIED I,14,15,15,Week 5,JANUARY,Week 2,APRIL,KENDUJHAR,KENDUJHAR SADAR,Narasinghapur,0.4,Sole Cropping,Broadcasting,good,14.5
R23-8-63,Odisha,2023-24,RABI (2023-24),2,2,2,Indian Rape Seeds and Mustard,PM-30,C027,V550,FOUNDATION I,CERTIFIED I,15,14,14,Week 1,DECEMBER,Week 3,FEBRUARY,BALESHWAR,BASTA,Machhada,0.2,Sole Cropping,Broadcasting,good,15
R23-2-39,Odisha,2023-24,RABI (2023-24),1,1,1,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,16,6.9,6.9,Week 3,DECEMBER,Week 1,MAY,PURI,NIMAPADA,Denuan,1.5,Sole Cropping,Drilling,average,10.5
R23-5-39,Odisha,2023-24,RABI (2023-24),9,9,9,Bengal gram (Gram/Kabuli/Chana),Nandyal Gram 452 (NbeG 452),C012,V557,FOUNDATION I,CERTIFIED I,72,6.5,6.5,Week 4,NOVEMBER,Week 3,APRIL,KENDUJHAR,ANANDAPUR,Baladuan,3.6,Sole Cropping,Broadcasting,average,6.6
R23-5-15,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,42,46,46,Week 4,OCTOBER,Week 4,MARCH,KENDUJHAR,KENDUJHAR SADAR,Silisuan,0.6,Sole Cropping,Broadcasting,average,42
R23-7-193,Odisha,2023-24,RABI (2023-24),1,1,1,Ground nut PeanutMung phalli,Gujarat Junagarh Groundnut 32(GJG 32)(ICGV 03043),C026,V514,FOUNDATION I,CERTIFIED I,10,10.8,10.8,Week 5,JANUARY,Week 2,MAY,KALAHANDI,BHAWANIPATNA,Kusumsila,1.5,Sole Cropping,Dibbling,good,10.2
R23-5-13,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,72,79,79,Week 4,OCTOBER,Week 5,MARCH,KENDUJHAR,SAHARAPADA,Khajuridiha,0.6,Sole Cropping,Broadcasting,average,72
R23-7-164,Odisha,2023-24,RABI (2023-24),3.2,3.2,3.2,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,44.8,48.9,48.9,Week 4,DECEMBER,Week 5,APRIL,NUAPADA,NUAPADA,Pipalchhendi,5,Sole Cropping,Dibbling,good,44.5
R23-5-670,Odisha,2023-24,RABI (2023-24),3,3,3,Sesame (Gingelly/Til),KALINGA SESAME 3-1 (OSC 79),C033,V643,FOUNDATION I,CERTIFIED I,21,20,20,Week 3,JANUARY,Week 2,APRIL,KENDUJHAR,BANSAPAL,Narsinghpur,0.3,Sole Cropping,Broadcasting,good,23
R23-5-20,Odisha,2023-24,RABI (2023-24),6,6,6,Toria,Sushree,C036,V438,FOUNDATION I,CERTIFIED I,60,55,55,Week 5,OCTOBER,Week 4,MARCH,KENDUJHAR,BANSAPAL,Tiriba,0.6,Sole Cropping,Broadcasting,good,50
K23-1-1451,Odisha,2023-24,KHARIF (2023),1,1,1,PaddyDhan,Kalachampa,C002,V372,FOUNDATION I,CERTIFIED I,60,66,66,Week 2,AUGUST,Week 1,DECEMBER,BARGARH,BARGARH,Sarsara,0.4,Sole Cropping,Transplanting,good,60
K23-1-2098,Odisha,2023-24,KHARIF (2023),2,2,2,Green Gram(Mung),IPM 205-7 (Virat),C015,V437,CERTIFIED I,CERTIFIED II,16,17.6,17.6,Week 4,AUGUST,Week 4,NOVEMBER,BARGARH,JHARBANDH,Jampali,0.4,Sole Cropping,Broadcasting,good,17.5
R23-4-24,Odisha,2023-24,RABI (2023-24),0.5,0.5,0.5,Ground nut PeanutMung phalli,K 1812 (Kadiri Lepakshi),C026,V513,FOUNDATION I,CERTIFIED I,12.5,11,11,Week 2,JANUARY,Week 5,MAY,MALKANGIRI,KHAIRAPUT,Gadiput,1,Sole Cropping,Dibbling,good,10
